Date,Country Advertisers Mobile OS,Budget, Installs 
01/01/2016,EU Facebook Android,564.21," 1,012 "
01/01/2016,EU Facebook iOS,84.50, 102 
01/01/2016,EU GoogleSearch Android,605.18," 1,721 "
01/01/2016,EU GoogleSearch iOS,121.78, 164 
01/01/2016,US Facebook Android,"1,666.76", 802 
01/01/2016,US Facebook iOS,"1,657.04", 529 
01/01/2016,US GoogleSearch Android,"3,018.81"," 1,569 "
01/01/2016,US GoogleSearch iOS,585.53, 194 
02/01/2016,EU Facebook Android,564.21," 1,756 "
02/01/2016,EU Facebook iOS,83.49, 152 
02/01/2016,EU GoogleSearch Android,597.26," 2,046 "
02/01/2016,EU GoogleSearch iOS,161.98, 181 
02/01/2016,US Facebook Android,"1,666.76", 989 
02/01/2016,US Facebook iOS,"1,655.09", 715 
02/01/2016,US GoogleSearch Android,"3,005.65"," 1,607 "
02/01/2016,US GoogleSearch iOS,660.37, 247 
03/01/2016,EU Facebook Android,564.21," 1,863 "
03/01/2016,EU Facebook iOS,83.07, 142 
03/01/2016,EU GoogleSearch Android,659.30," 2,319 "
03/01/2016,EU GoogleSearch iOS,143.66, 226 
03/01/2016,US Facebook Android,"1,666.76"," 1,070 "
03/01/2016,US Facebook iOS,"1,657.40", 684 
03/01/2016,US GoogleSearch Android,"3,015.17"," 1,679 "
03/01/2016,US GoogleSearch iOS,562.44, 215 
04/01/2016,EU Facebook Android,564.21," 1,831 "
04/01/2016,EU Facebook iOS,82.65, 148 
04/01/2016,EU GoogleSearch Android,703.16," 2,661 "
04/01/2016,EU GoogleSearch iOS,207.73, 296 
04/01/2016,US Facebook Android,"1,666.76"," 1,035 "
04/01/2016,US Facebook iOS,"1,650.04", 663 
04/01/2016,US GoogleSearch Android,"3,169.92"," 1,895 "
04/01/2016,US GoogleSearch iOS,662.92, 258 
05/01/2016,EU Facebook Android,564.21," 1,769 "
05/01/2016,EU Facebook iOS,83.60, 160 
05/01/2016,EU GoogleSearch Android,684.17," 2,522 "
05/01/2016,EU GoogleSearch iOS,217.08, 306 
05/01/2016,US Facebook Android,"1,666.76"," 1,108 "
05/01/2016,US Facebook iOS,"1,782.98", 800 
05/01/2016,US GoogleSearch Android,"3,173.51"," 1,810 "
